Timestamp,CarPitch,CarRoll,CarYaw,LatAccel,Ay,ForwardAccel,LinAccel,RGrad,ShockPot,GyX
2025-05-24 15:38:08.336,-0.26,1.64,136.46,-0.54,-2.52,11.63,0.04,-3.05,2.69,-1.53
2025-05-24 15:38:08.438,-10.18,-1.55,138.01,0.50,-0.98,8.65,0.04,-3.12,2.44,-0.74
2025-05-24 15:38:08.538,-10.18,-1.55,138.01,0.53,-2.67,9.15,0.04,-2.91,2.69,-1.69
2025-05-24 15:38:08.634,-10.18,-1.55,138.01,0.11,-5.27,7.61,0.04,-13.66,2.69,-2.88
2025-05-24 15:38:08.737,-10.18,-1.55,138.01,1.68,-5.70,5.73,0.04,-0.92,2.69,-2.88
2025-05-24 15:38:08.838,-10.18,-1.55,138.01,0.42,-8.15,4.17,0.04,-3.70,2.69,-1.75
2025-05-24 15:38:08.939,-10.18,-1.55,138.01,0.42,-8.15,4.17,0.04,-3.70,2.69,-2.21
2025-05-24 15:38:08.048,-78.70,2.53,135.35,0.50,-5.47,-7.86,0.04,5.10,2.69,2.23
2025-05-24 15:38:08.149,-78.70,2.53,135.35,-0.35,-7.35,0.30,0.04,-7.28,2.69,-0.68
2025-05-24 15:38:08.249,-78.70,2.53,135.35,-0.54,-7.87,0.53,0.04,-4.70,2.69,-0.07
2025-05-24 15:38:09.345,-78.70,2.53,135.35,-0.35,-10.49,1.22,0.04,-7.28,2.69,-0.13
2025-05-24 15:38:09.443,-78.70,2.53,135.35,-0.35,-10.49,1.22,0.04,-7.28,2.69,-0.17
2025-05-24 15:38:09.767,-78.70,2.53,135.35,0.15,-9.30,-0.93,0.04,17.06,2.69,-0.06
2025-05-24 15:38:09.879,-86.81,0.48,137.90,0.07,-9.38,0.14,-0.24,6.42,2.69,0.11
2025-05-24 15:38:09.968,-86.81,0.48,137.90,0.07,-9.49,0.03,-0.24,6.42,2.69,-0.11
2025-05-24 15:38:09.078,-87.18,0.42,137.95,0.11,-9.38,0.14,-0.24,3.71,2.69,-0.03
2025-05-24 15:38:09.179,-87.18,0.42,137.95,-0.00,-9.41,0.03,-0.28,0.00,2.69,0.06
2025-05-24 15:38:09.277,-87.18,0.42,137.95,-0.00,-9.41,0.18,0.04,0.00,2.69,-0.07
2025-05-24 15:38:10.379,-87.18,0.42,137.95,0.04,-9.41,0.22,0.05,11.96,2.69,-0.07
2025-05-24 15:38:10.474,-87.18,0.42,137.95,0.04,-9.41,0.22,0.05,11.96,2.69,0.03
2025-05-24 15:38:10.575,-87.18,0.42,137.95,0.07,-9.41,0.26,0.05,5.66,2.69,-0.00
2025-05-24 15:38:10.675,-87.18,0.42,137.95,0.07,-9.41,0.26,0.05,5.66,2.69,-0.05
2025-05-24 15:38:10.779,-87.18,0.42,137.95,0.04,-9.45,0.22,0.02,11.96,2.69,0.04
2025-05-24 15:38:10.888,-88.33,-0.07,137.76,0.04,-9.41,0.22,0.02,-2.00,2.69,-0.02
2025-05-24 15:38:10.999,-88.33,-0.07,137.76,0.04,-9.38,0.18,-0.01,-2.00,2.69,-0.04
2025-05-24 15:38:10.080,-88.33,-0.07,137.76,0.04,-9.42,0.26,-0.01,-2.00,2.44,0.03
2025-05-24 15:38:10.188,-88.24,-0.09,137.78,0.04,-9.42,0.26,-0.01,-2.69,2.69,-0.02
2025-05-24 15:38:10.299,-88.24,-0.09,137.78,0.04,-9.42,0.26,0.03,-2.69,2.69,0.04
2025-05-24 15:38:11.389,-88.24,-0.09,137.78,0.07,-9.34,0.26,-0.02,-1.28,2.44,0.00
2025-05-24 15:38:11.486,-88.24,-0.09,137.78,0.04,-9.48,0.26,-0.02,-2.69,2.69,-0.01
2025-05-24 15:38:11.586,-88.24,-0.09,137.78,0.04,-9.42,0.26,-0.02,-2.69,2.69,0.00
2025-05-24 15:38:11.687,-88.24,-0.09,137.78,0.04,-9.38,0.30,-0.02,-2.69,2.69,0.01
2025-05-24 15:38:11.789,-88.24,-0.09,137.78,0.04,-9.49,0.22,-0.02,-2.69,2.69,0.04
2025-05-24 15:38:11.899,-88.28,-0.15,137.80,-0.00,-9.45,0.30,-0.02,0.00,2.69,0.01
2025-05-24 15:38:11.989,-88.28,-0.15,137.80,0.07,-9.38,0.22,-0.02,-2.07,2.69,0.01
2025-05-24 15:38:11.099,-88.16,-0.15,137.82,0.04,-9.42,0.34,-0.02,-4.38,2.44,0.03
2025-05-24 15:38:11.199,-88.16,-0.15,137.82,0.04,-9.45,0.30,0.00,-4.38,2.69,0.00
2025-05-24 15:38:11.299,-88.16,-0.15,137.82,0.07,-9.42,0.30,-0.03,-2.08,2.44,-0.04
2025-05-24 15:38:12.394,-88.16,-0.15,137.82,0.07,-9.42,0.30,-0.03,-2.08,2.69,-0.01
2025-05-24 15:38:12.497,-88.16,-0.15,137.82,0.04,-9.42,0.34,-0.03,-4.38,2.69,0.02
2025-05-24 15:38:12.595,-88.16,-0.15,137.82,-0.00,-9.45,0.30,-0.03,0.00,2.69,-0.00
2025-05-24 15:38:12.699,-88.16,-0.15,137.82,-0.04,-9.41,0.37,-0.03,3.59,2.69,-0.01
2025-05-24 15:38:12.799,-88.16,-0.15,137.82,-0.00,-9.48,0.11,-0.20,0.00,2.69,-0.01
2025-05-24 15:38:12.909,-87.91,-0.25,137.90,0.04,-9.42,0.49,-0.20,-7.18,2.69,0.11
2025-05-24 15:38:12.998,-87.91,-0.25,137.90,0.04,-9.42,0.26,-0.20,-7.18,2.69,-0.07
2025-05-24 15:38:12.109,-87.91,-0.25,137.90,0.04,-9.45,0.34,-0.20,-7.18,2.44,0.01
2025-05-24 15:38:12.210,-88.25,-0.25,137.84,0.07,-9.49,0.26,-0.20,-3.34,2.69,-0.01
2025-05-24 15:38:13.319,-88.25,-0.25,137.84,-0.00,-9.49,0.34,0.01,0.00,2.69,-0.02
2025-05-24 15:38:13.419,-88.58,-0.31,137.81,-0.00,-9.41,0.14,0.01,0.00,2.69,-0.09
2025-05-24 15:38:13.507,-88.58,-0.31,137.81,0.07,-9.18,-0.13,0.01,-4.22,2.69,-0.06
2025-05-24 15:38:13.606,-88.58,-0.31,137.81,0.80,-8.96,0.22,0.01,-0.39,2.69,-0.62
2025-05-24 15:38:13.706,-88.58,-0.31,137.81,0.80,-8.96,0.22,0.01,-0.39,2.69,-0.07
2025-05-24 15:38:13.808,-88.58,-0.31,137.81,0.80,-8.96,0.22,0.18,-0.39,2.69,0.04
2025-05-24 15:38:13.920,-91.99,-14.39,136.45,2.26,-8.15,-0.43,0.18,-6.38,2.69,-0.03
2025-05-24 15:38:13.009,-91.99,-14.39,136.45,3.71,-7.69,0.22,0.18,-3.88,2.44,0.17
2025-05-24 15:38:13.109,-91.99,-14.39,136.45,4.52,-9.07,0.22,0.18,-3.19,2.69,0.08
2025-05-24 15:38:13.219,-91.99,-14.39,136.45,4.90,-8.15,-0.89,-0.81,-2.94,2.69,-0.01
2025-05-24 15:38:14.313,-91.99,-14.39,136.45,4.98,-6.66,-0.13,-0.81,-2.89,2.69,-0.05
2025-05-24 15:38:14.429,-96.12,-38.07,141.98,6.70,-7.23,-0.73,-0.30,-5.68,2.44,-0.05
2025-05-24 15:38:14.515,-96.12,-38.07,141.98,6.70,-7.23,-0.73,-0.30,-5.68,2.69,-0.14
2025-05-24 15:38:14.615,-96.12,-38.07,141.98,6.62,-6.20,-0.43,-0.30,-5.75,2.69,0.02
2025-05-24 15:38:14.718,-96.12,-38.07,141.98,6.39,-7.69,-0.05,-0.30,-5.95,2.69,-0.21
2025-05-24 15:38:14.819,-96.12,-38.07,141.98,6.51,-7.23,-0.43,-0.30,-5.85,2.69,-0.34
2025-05-24 15:38:14.920,-96.12,-38.07,141.98,6.97,-6.81,-0.81,-0.30,-5.46,2.69,-0.48
2025-05-24 15:38:14.018,-96.12,-38.07,141.98,7.12,-5.70,-2.69,-0.30,-5.35,2.69,-0.05
2025-05-24 15:38:14.118,-96.12,-38.07,141.98,7.35,-6.20,-1.27,-0.30,-5.18,2.69,-0.16
2025-05-24 15:38:14.230,-96.12,-38.07,141.98,7.12,-5.43,-0.43,0.27,-5.35,2.69,-0.63
2025-05-24 15:38:15.330,-96.72,-56.20,136.55,8.12,-4.86,-0.62,0.27,-6.92,2.69,0.11
2025-05-24 15:38:15.440,-96.72,-56.20,136.55,7.81,-4.93,-1.12,-0.12,-7.19,2.44,-0.11
2025-05-24 15:38:15.524,-96.72,-56.20,136.55,7.81,-4.93,-1.12,-0.12,-7.19,2.69,0.16
2025-05-24 15:38:15.627,-96.72,-56.20,136.55,7.77,-3.78,-1.20,-0.12,-7.23,2.69,-0.14
2025-05-24 15:38:15.730,-96.72,-56.20,136.55,8.62,-4.24,-0.39,-0.12,-6.52,2.69,-0.09
2025-05-24 15:38:15.826,-96.72,-56.20,136.55,8.62,-4.24,-0.39,-0.12,-6.52,2.69,-0.10
2025-05-24 15:38:15.927,-96.72,-56.20,136.55,8.58,-3.25,-0.62,-0.12,-6.55,2.69,-0.10
2025-05-24 15:38:15.028,-96.72,-56.20,136.55,8.77,-2.71,-0.93,-0.12,-6.41,2.69,-0.10
2025-05-24 15:38:15.130,-96.72,-56.20,136.55,9.39,-2.17,-1.12,-0.12,-5.99,2.69,-0.10
2025-05-24 15:38:15.230,-96.72,-56.20,136.55,9.39,-2.17,-1.12,-0.12,-5.99,2.69,-0.09
2025-05-24 15:38:16.340,-110.47,-81.45,149.35,9.23,-0.79,-0.20,-0.09,-8.83,2.69,-0.29
2025-05-24 15:38:16.440,-110.47,-81.45,149.35,9.38,-0.14,0.26,-0.30,-8.68,2.44,-0.18
2025-05-24 15:38:16.550,-24.47,-86.45,61.23,9.49,0.16,0.18,-0.30,-9.11,2.69,-0.09
2025-05-24 15:38:16.635,-24.47,-86.45,61.23,9.49,0.16,0.18,-0.30,-9.11,2.69,0.51
2025-05-24 15:38:16.737,-24.47,-86.45,61.23,9.11,0.55,0.07,-0.30,-9.49,2.69,0.69
2025-05-24 15:38:16.058,-24.47,-86.45,61.23,9.11,0.55,0.07,0.01,-9.49,2.69,-0.25
2025-05-24 15:38:16.160,-24.47,-86.45,61.23,8.58,4.34,-0.89,0.01,-10.07,2.44,0.04
2025-05-24 15:38:16.258,-24.47,-86.45,61.23,8.62,3.42,-0.54,0.01,-10.03,2.69,0.74
2025-05-24 15:38:17.359,-24.47,-86.45,61.23,9.07,4.15,-1.46,0.01,-9.53,2.69,0.74
2025-05-24 15:38:17.471,107.09,-62.56,-59.83,8.46,4.34,-1.62,0.01,-7.39,2.69,0.14
2025-05-24 15:38:17.571,108.54,-61.66,-61.84,8.58,4.91,-1.20,0.01,-7.18,2.69,-0.21
2025-05-24 15:38:17.671,101.90,-60.03,-57.13,8.92,5.14,-1.39,0.01,-6.73,2.69,-0.56
2025-05-24 15:38:17.791,96.81,-54.54,-53.44,8.23,6.02,-1.08,-0.77,-6.62,2.69,0.58
2025-05-24 15:38:17.868,96.81,-54.54,-53.44,8.23,6.02,-1.08,-0.77,-6.62,2.69,-0.21
2025-05-24 15:38:17.968,96.81,-54.54,-53.44,6.01,3.77,1.10,-0.77,-9.07,2.69,-0.78
2025-05-24 15:38:17.068,96.81,-54.54,-53.44,6.59,7.25,0.37,-0.77,-8.28,2.69,-0.12
2025-05-24 15:38:17.171,96.81,-54.54,-53.44,5.05,7.94,0.11,-0.05,-10.79,2.69,-0.18
2025-05-24 15:38:17.268,96.81,-54.54,-53.44,5.05,7.94,0.11,-0.05,-10.79,2.69,0.28
2025-05-24 15:38:18.369,96.81,-54.54,-53.44,4.40,9.63,-0.28,-0.05,-12.39,2.69,0.28
2025-05-24 15:38:18.470,96.81,-54.54,-53.44,3.64,9.43,-0.05,-0.05,-15.00,2.69,0.03
2025-05-24 15:38:18.581,96.81,-54.54,-53.44,2.52,9.86,0.41,-0.37,-21.61,2.44,-0.13
2025-05-24 15:38:18.681,96.81,-54.54,-53.44,1.18,9.36,0.57,-0.22,-46.08,2.69,-0.37
2025-05-24 15:38:18.800,84.65,-5.25,-43.31,0.46,9.78,0.80,-0.22,-11.49,2.69,0.01
2025-05-24 15:38:18.878,84.65,-5.25,-43.31,0.46,10.23,0.64,-0.22,-11.49,2.44,-0.03
